input_text,target_text
some possible side effects of tracit may include nausea or dizziness,Some possible side effects of Tracet may include nausea or dizziness.
"Aflocomozetab contains afloxacin, an antibiotic used to treat various bacterial infections.","""Oflokem-OZ tab contains ofloxacin  an antibiotic used to treat various bacterial infections."""
Dextromethamine resin complex is another form of medication that can help with ADHD symptoms.,Dextroamphetamine resin complex is another form of medication that can help with ADHD symptoms.
Mactal woman is a popular herbal remedy used by women worldwide.,MOKTEL WOMAN is a popular herbal remedy used by women worldwide.
Tencent Plus is a popular medication used to manage high blood pressure and improve heart health.,TENSYN PLUS is a popular medication used to manage high blood pressure and improve heart health.
It's important to follow your doctor's instructions when taking SM Fibro for fibromyalgia.,It's important to follow your doctor's instructions when taking SM-Fibro for fibromyalgia.
Ocifrol is a prescription medication used to treat high blood pressure.,Ocifril is a prescription medication used to treat high blood pressure.
Dulleson is known for its fast-acting pain relief properties.,Dulocin is known for its fast-acting pain relief properties.
Use Mozabir GL as directed by your healthcare provider for effective relief from muscle pain.,Use MOSIBA GEL as directed by your healthcare provider for effective relief from muscle pain.
Ricocid is an effective medication for treating respiratory infections.,RECOCID is an effective medication for treating respiratory infections.
Ceftrius is commonly prescribed to treat bacterial infections such as pneumonia and skin infections.,SEFTRI-S is commonly prescribed to treat bacterial infections such as pneumonia and skin infections.
Make sure to follow the prescribed dosage of ALDA to maximize its effectiveness.,Make sure to follow the prescribed dosage of Alde to maximize its effectiveness.
Peronine is a powerful medication known for its effectiveness in treating various health conditions.,PRO-9 is a powerful medication known for its effectiveness in treating various health conditions.
have you tried the new medicine vilisem et for your condition,Have you tried the new medicine VILUS-MET for your condition?
Patients should always follow their health care provider's instructions when taking didrogesterone.,Patients should always follow their healthcare provider's instructions when taking dydrogesterone.
It's important to discuss any potential side effects of Ferrolact with your doctor before starting treatment.,It's important to discuss any potential side effects of Ferolact with your doctor before starting treatment.
Ceralia corallifolia extract is known for its potential health benefits and traditional medicinal uses.,Psoralea corylifolia extract is known for its potential health benefits and traditional medicinal uses.
did you know that bentiquatum works by forming a protective barrier on the skin to block irritating plant oils,Did you know that bentoquatam works by forming a protective barrier on the skin to block irritating plant oils?
Vomera is a new medication for treating nausea and vomiting.,Vomiora is a new medication for treating nausea and vomiting.
It is important to follow the recommended dosage of Embutron Plus for best results.,It is important to follow the recommended dosage of mbtron plus for best results.
Ensure to consult your doctor before starting Pentazur DLS medication.,Ensure to consult your doctor before starting Pentasure-DLS medication.
L0D is a fast-acting medication for acid reflux relief.,ULZERO-D is a fast-acting medication for acid reflux relief.
Centilactab containing montelukast is commonly used to treat asthma and allergic rhinitis.,Centiluk tab containing montelukast is commonly used to treat asthma and allergic rhinitis.
"If you have questions about Klopihart, it is best to consult with your healthcare provider for more information.","""If you have questions about Clopiheart  it is best to consult with your healthcare provider for more information."""
"It's important to follow the recommended dosage when using LAMAX, D for best results.",It's important to follow the recommended dosage when using LOMOX-D for best results.
Remember to take your Roslois EV tab containing rosivastatin as prescribed by your healthcare provider.,Remember to take your rosloy-cv tab containing rosuvastatin as prescribed by your healthcare provider.
Vaspas can help relax muscles and alleviate pain caused by spasms.,Vahspas can help relax muscles and alleviate pain caused by spasms.
"Make sure to take the prescribed dosage of pedilin tab, amoxicillin with a full glass of water,",Make sure to take the prescribed dosage of pdlin tab:amoxicillin with a full glass of water.
Some patients may experience side effects like drowsiness or muscle spasms when taking halopridol decanoate.,Some patients may experience side effects like drowsiness or muscle spasms when taking haloperidol decanoate.
Sodium toricolate is commonly used in laboratory research to aid in the solubilization of poorly soluble compounds.,Sodium taurocholate is commonly used in laboratory research to aid in the solubilization of poorly soluble compounds.
"If you suspect exposure to a nerve agent, duodote can be life, saving when administered promptly.","""If you suspect exposure to a nerve agent  Duodote can be life-saving when administered promptly."""
Ensure you follow the recommended dosage instructions when using RedoxPlus.,Ensure you follow the recommended dosage instructions when using Reedox Plus.
Ferrobrim is a commonly prescribed medication for iron deficiency anemia.,Ferobrim is a commonly prescribed medication for iron deficiency anemia.
Deseta 1-35 is a combination birth control pill that helps prevent pregnancy.,Dasetta 1/35 is a combination birth control pill that helps prevent pregnancy.
Redpavex DSYR is a potent medicine for boosting immunity and fighting infections.,REDBHAV-XT SYR is a potent medicine for boosting immunity and fighting infections.
Ensure proper administration of the medicine by taking 1 FZ ab of tenofovir disoproxyl fumarate daily.,Ensure proper administration of the medicine by taking 1 fc-tab of tenofovir disoproxil fumarate daily.
patients must follow their doctor's instructions carefully when taking selamin fives plus to ensure its effectiveness,Patients must follow their doctor's instructions carefully when taking CELEMIN-5S PLUS to ensure its effectiveness.
Nebovizh is a medication used to treat high blood pressure and heart failure.,NEBIVAS-H is a medication used to treat high blood pressure and heart failure.
Swamux CL powder for injection contains amoxicillin to treat bacterial infections.,Swemox-CL powder for injection contains amoxicillin to treat bacterial infections.
Make sure to follow the prescribed dosage when taking Zolom Forte for optimal results.,Make sure to follow the prescribed dosage when taking ZOLOME FORTE for optimal results.
"Rimestype is a prescription medicine used to treat certain types of cancer,",REMESTYP is a prescription medicine used to treat certain types of cancer.
Elephant Hopper's scaber extract is a natural remedy with potential health benefits.,Elephantopus scaber extract is a natural remedy with potential health benefits.
Bacterans E is a powerful antibiotic that effectively targets a wide range of bacterial infections.,BACTER-NZ is a powerful antibiotic that effectively targets a wide range of bacterial infections.
Recombinant antihemophilic factor Roth is a crucial medication for individuals with hemophilia A.,Recombinant antihaemophilic factor (rahf) is a crucial medication for individuals with hemophilia A.
Remember to store Factosil Roman 8 properly to maintain its effectiveness.,Remember to store FACTOCEL VIII properly to maintain its effectiveness.
Gentamicin is a powerful antibiotic used to treat various bacterial infections.,Gentamycin is a powerful antibiotic used to treat various bacterial infections.
The doctor recommended starting a treatment plan with dolisactiar.,The doctor recommended starting a treatment plan with dolosac-tr.
The doctor recommended exprogram to manage the symptoms effectively.,The doctor recommended EXPROG-M to manage the symptoms effectively.
Dapacigem is a popular medication known for its effectiveness in treating allergies and asthma symptoms.,DAPASIG-M is a popular medication known for its effectiveness in treating allergies and asthma symptoms.
Using ZynCard can help protect the heart during cancer treatment by minimizing potential side effects.,Using Zinecard can help protect the heart during cancer treatment by minimizing potential side effects.
"Metronidazole is the active ingredient in Gramigel-TAB, effective in combating bacterial infections.","""Metronidazole is the active ingredient in Gramogyl Tab  effective in combating bacterial infections."""
Administering ciltiximab may help reduce symptoms of certain inflammatory conditions.,Administering siltuximab may help reduce symptoms of certain inflammatory conditions.
Rick Scott is a popular pain relieving medication.,REXCOD is a popular pain-relieving medication.
oxalicose e is a popular medicine known for its effectiveness in treating acid reflux,OXALIC-OZ is a popular medicine known for its effectiveness in treating acid reflux.
Deca-DSR is commonly prescribed for acid reflux and heartburn symptoms.,DICARE-DSR is commonly prescribed for acid reflux and heartburn symptoms.
neomyse in sulphate is an antibiotic while triamcinolone acetonide is a corticosteroid commonly used in combination to treat certain skin conditions,Neomycin sulfate is an antibiotic while triamcinolone acetonide is a corticosteroid commonly used in combination to treat certain skin conditions.
Deryfnasin is commonly prescribed to treat symptoms of overactive bladder.,Darifenacin is commonly prescribed to treat symptoms of overactive bladder.
the combination of butesonide and formotrol fumarate dihydrate helps to reduce inflammation and improve breathing in patients with respiratory conditions,The combination of budesonide and formoterol fumarate dihydrate helps to reduce inflammation and improve breathing in patients with respiratory conditions.
Make sure to follow your healthcare provider's instructions when taking Hydrosit to maximize its effectiveness.,Make sure to follow your healthcare provider's instructions when taking HYDROZET to maximize its effectiveness.
Many people find pantothen it helpful in supporting healthy skin and hair.,Many people find pantothenate helpful in supporting healthy skin and hair.
Consult your doctor before starting a course of PISO-DSR for optimal relief from gastric issues.,Consult your doctor before starting a course of Pizo-DSR for optimal relief from gastric issues.
Consider asking your doctor about the potential benefits of Twizzle for your specific condition.,Consider asking your doctor about the potential benefits of TWICYL for your specific condition.
Levacetamix R is known for its effectiveness in controlling seizure activity.,Levacetam-XR is known for its effectiveness in controlling seizure activity.
Doxosoft is a highly effective medication for treating bacterial infections.,DOXISOFT is a highly effective medication for treating bacterial infections.
MitraPlus is a trusted over-the-counter remedy for congestion and sinus pressure.,Mytryp plus is a trusted over-the-counter remedy for congestion and sinus pressure.
Procane is a local anesthetic often used in dental procedures.,Procaine is a local anesthetic often used in dental procedures.
Have you tried Phogen XT for your allergies?,Have you tried Fergen-XT for your allergies?
Reduce inflammation in your airways with Centiluctab containing Montelukast.,Reduce inflammation in your airways with Centiluk Tab containing Montelukast.
Taking heptadenes can provide relief from symptoms like runny nose and itchy eyes.,Taking HEPTADINE-S can provide relief from symptoms like runny nose and itchy eyes.
AMZT-DSR is commonly prescribed for treating acid reflux and heartburn symptoms.,Omzit-dsr is commonly prescribed for treating acid reflux and heartburn symptoms.
Denogist is often combined with estradiol valerate for the treatment of endometriosis.,Dienogest is often combined with estradiol valerate for the treatment of endometriosis.
Parnica syrup is a popular herbal medicine for boosting immunity.,Parnika syrup is a popular herbal medicine for boosting immunity.
Polypher 100 is a supplement that provides 100 mg of elemental iron.,Polyfer-100 is a supplement that provides 100 mg of elemental iron.
"When administering hymen plus tab alongside ivermectin, be sure to follow the prescribed dosage guidelines carefully.","""When administering Hymin Plus tab alongside ivermectin  be sure to follow the prescribed dosage guidelines carefully."""
Nettlemas in sulfate is an effective antibiotic used to treat various bacterial infections.,Netilmicin sulphate is an effective antibiotic used to treat various bacterial infections.
Synred is known for its fast-acting properties in providing relief from various health conditions.,Cinred is known for its fast-acting properties in providing relief from various health conditions.
Dihydroergotoxyne mesylate is a medication commonly used to improve blood flow in patients with certain circulatory disorders.,Dihydroergotoxine mesylate is a medication commonly used to improve blood flow in patients with certain circulatory disorders.
"Erlitin is commonly prescribed to treat certain types of lung cancer,",Erlotinib hydrochloride is commonly prescribed to treat certain types of lung cancer.
"Make sure to complete the full course of Cefjo,  no as prescribed by your health care provider for best results.",Make sure to complete the full course of CEFJONE-O as prescribed by your healthcare provider for best results.
"This innovative drug, tocilizumab bavi, has shown great potential in managing inflammatory conditions and autoimmune diseases.","""This innovative drug  tocilizumab-bavi  has shown great potential in managing inflammatory conditions and autoimmune diseases."""
"Cholesterol, lowering medications can be prescribed to help manage high cholesterol levels.",Cholesterol-lowering medications can be prescribed to help manage high cholesterol levels.
Have you considered consulting your healthcare provider about the benefits of itrazine for your condition?,Have you considered consulting your healthcare provider about the benefits of ITRAZANE for your condition?
Declonamine U is a potent medication used for treating respiratory infections in patients.,DCLONOM-AQ is a potent medication used for treating respiratory infections in patients.
It is important to consult with your health care provider before starting LycoZurch to address any potential interactions or side effects.,It is important to consult with your healthcare provider before starting LYCOSERCH to address any potential interactions or side effects.
"It is important to follow the prescribed dosage and complete the full course of Zofix-EL,  b. to ensure successful treatment.",It is important to follow the prescribed dosage and complete the full course of ZOFIXI-LB to ensure successful treatment.
Cordia sabistana is a traditional medicine used for treating respiratory ailments in some cultures.,Cordia sebestena is a traditional medicine used for treating respiratory ailments in some cultures.
"Remember to keep Axifer out of reach of children and store it in a cool, dry place.","""Remember to keep AXIFUR out of reach of children and store it in a cool  dry place."""
Have you considered talking to your doctor about the benefits of Glycemby for managing your diabetes?,Have you considered talking to your doctor about the benefits of GLYXAMBI for managing your diabetes?
Dumpro is an effective medicine for treating gastrointestinal issues.,DOMPRO is an effective medicine for treating gastrointestinal issues.
A cold may provide relief from your cold symptoms.,A'COLD may provide relief from your cold symptoms.
Always follow your doctor's recommended dosage when using Flu4Tab.,Always follow your doctor's recommended dosage when using Flu-4 tab.
Endodec is a popular pain reliever that can help alleviate uncomfortable symptoms.,INDODEC is a popular pain reliever that can help alleviate uncomfortable symptoms.
"Phosphamine, XD, is commonly prescribed to patients with urinary tract infections.",PHOSFOMIN-XT is commonly prescribed to patients with urinary tract infections.
Make sure to follow the recommended dosage of Rubizime for optimal results in supporting gut health.,Make sure to follow the recommended dosage of RUBYZYME for optimal results in supporting gut health.
"Phenyl dopam is commonly used to lower blood pressure,",Fenoldopam is commonly used to lower blood pressure.
Edemaal pee may cause dizziness or light-headedness as side effects.,Edemol-P may cause dizziness or lightheadedness as side effects.
Azorb D3 can enhance bone health and boost immunity levels.,EZORB-D3 can enhance bone health and boost immunity levels.
"Newelive is a prescription medicine used to treat symptoms of attention, deficit hyperactivity, disorder, ADHD.",NEULIV is a prescription medicine used to treat symptoms of attention deficit hyperactivity disorder (ADHD).
The medication olirotumab targets specific cancer cells to help slow down or stop their growth.,The medication olaratumab targets specific cancer cells to help slow down or stop their growth.
Penta-DSR is commonly prescribed for treating stomach acidity and reflux-related symptoms.,PENTOD-DSR is commonly prescribed for treating stomach acidity and reflux-related symptoms.
Pantacigati is a medication prescribed for digestive system complications.,Pantosig-IT is a medication prescribed for digestive system complications.
it's important to follow your doctor's instructions carefully when taking nolaten for maximum effectiveness,It's important to follow your doctor's instructions carefully when taking NORLUT-N for maximum effectiveness.
it's important to complete the full course of cefchamp tab cefpidox i'm as directed by your health care provider to ensure effective treatment,It's important to complete the full course of cefchamp tab (cefpodoxime) as directed by your healthcare provider to ensure effective treatment.
Astrogen is a natural supplement that supports immune system health.,ASTROGIN is a natural supplement that supports immune system health.
Dalsy is known for its effective relief of pain and inflammation.,DOLZY is known for its effective relief of pain and inflammation.
Rabway is a leading medication commonly prescribed for gastric issues.,RABEWAY is a leading medication commonly prescribed for gastric issues.
Dalla Swift is commonly prescribed to relieve mild to moderate pain.,DOLOSWIFT is commonly prescribed to relieve mild to moderate pain.
bestaz im syrup contains alpha amylase to aid in the digestion of carbohydrates,Bestozyme syrup contains alpha-amylase to aid in the digestion of carbohydrates.
Diosone is a corticosteroid medication used to reduce inflammation and itching in skin conditions.,DEOSONE is a corticosteroid medication used to reduce inflammation and itching in skin conditions.
Xophost is a commonly prescribed medication for treating insomnia in adults.,ZOPHOST is a commonly prescribed medication for treating insomnia in adults.
Make sure to take Hemex-TLB with a glass of water as directed by your healthcare provider.,Make sure to take HEMEX TAB with a glass of water as directed by your healthcare provider.
Make sure to take Navamino D as prescribed by your doctor to effectively manage your condition.,Make sure to take NOVOMINE-OD as prescribed by your doctor to effectively manage your condition.
ensure you follow the instructions carefully when taking pyrimthamine to achieve the intended therapeutic effects,Ensure you follow the instructions carefully when taking pyrimethamine to achieve the intended therapeutic effects.
L-gram is an antibiotic used to treat various bacterial infections.,ULGRAM is an antibiotic used to treat various bacterial infections.
Esaflo is a medication commonly prescribed for asthma management.,ESOFLO is a medication commonly prescribed for asthma management.
"ZYOX, Y is a powerful pain medication that can provide relief for severe discomfort.",ZY-OXY is a powerful pain medication that can provide relief for severe discomfort.
Remember to take Nasatra as prescribed by your health care provider for best results.,Remember to take NAZOTRA as prescribed by your healthcare provider for best results.
Sipaquin is an antibiotic medication used to treat bacterial infections in dogs and cats.,CIPIQUIN is an antibiotic medication used to treat bacterial infections in dogs and cats.
Flexula respi is commonly prescribed for the treatment of acute muscle pain and inflammation.,FLEXILOR-SP is commonly prescribed for the treatment of acute muscle pain and inflammation.
It's essential to follow the recommended dosage and duration when using Capsulid.,It's essential to follow the recommended dosage and duration when using CAPZOLID.
"The medicine Bacterax OZ tablet contains afluxacin, an effective antibiotic for treating various bacterial infections.","""The medicine Bactorax-OZ tablet contains Ofloxacin  an effective antibiotic for treating various bacterial infections."""
It's important to follow the prescribed dosage and frequency when taking salmophylline tea for optimal results.,It's important to follow the prescribed dosage and frequency when taking Somophyllin-T for optimal results.
Hydal is commonly prescribed to treat high blood pressure.,Hydil is commonly prescribed to treat high blood pressure.
The ibatrop MDI contains teutropium bromide for effective relief of respiratory symptoms.,The ibitrop mdi contains tiotropium bromide for effective relief of respiratory symptoms.
Have you tried Octexid yet for managing your skin concerns effectively?,Have you tried OCTOXID yet for managing your skin concerns effectively?
