correct,asr,error_type,edit_distance,sentence_idx
benazepril,benazeprol,character_substitution,1,83
atazanavir,atazenavir,character_substitution,1,86
ambrodil-lx,ambrogilalex,phonetic_substitution,3,89
carvedilol,carvodilol,character_substitution,1,91
ulinerv-p,ulinev-p,character_substitution,1,92
sazolol-xl,sazalol,phonetic_substitution,4,93
enalapril,enolapril,character_substitution,1,94
maleate,malate,character_substitution,1,94
milrinone,milrinan,character_substitution,2,95
oflee-nt,off-lane,phonetic_substitution,5,100
pregacip-m,pregacipem,character_substitution,1,102
calrine,cowreen,word_level_error,5,103
amodiaquine,amodequine,character_substitution,2,104
tranylcypromine,tranylsipramine,phonetic_substitution,3,105
heptadine-s,heptadenes,character_substitution,2,106
sulfate,miss,word_level_error,7,107
foenum-graecum,phonum,segmentation_error,11,109
anti-inflammatory,anti,segmentation_error,13,109
prochlorperazine,prochloroperazine,character_substitution,1,111
edisylate,etisolate,character_substitution,2,111
nipp-ca,nip,segmentation_error,4,112
psymet-g,cymet-g,character_substitution,2,113
dronedarone,drondurone,character_substitution,2,120
roulet-dsr,roulette,word_level_error,4,121
levorid-ax,lavrodex,phonetic_substitution,5,122
neosporin-h,neosporin,character_insertion_deletion,2,124
tubrobutol,tabributol,character_substitution,2,127
carex-mv,kexam,word_level_error,5,128
glycerylphosphorylcholine,choline,segmentation_error,18,129
mesalamine,mezalamine,character_substitution,1,131
f-18,f18,character_substitution,1,132
eptinezumab-jjmr,eptine-zumab-jjmr,character_substitution,1,135
widely-used,widely,segmentation_error,5,137
sulphate,sulfate,character_substitution,2,141
sulphamethoxazole,sulfamethoxazole,character_substitution,2,145
zenobia-al,zenobia,character_insertion_deletion,3,149
theophylline,theophyll,character_insertion_deletion,3,150
pandostal-od,pandostello,phonetic_substitution,3,151
saaz-ds,sasds,character_insertion_deletion,3,155
obrasone,elbrusone,word_level_error,3,158
codoxray-cv,codex,segmentation_error,7,159
amoxicillin,amexicillin,character_substitution,1,159
elvital-gm,l-vitalgm,word_level_error,3,161
metol-xl,metalexcel,phonetic_substitution,4,171
sulphate,sulfate,character_substitution,2,172
monohydrate,mono,segmentation_error,7,172
tescof-at,tescofat,character_substitution,1,173
napromol,napromole,character_substitution,1,174
eluxadoline,elexadoline,character_substitution,1,180
isozic-sr,isosacase,phonetic_substitution,4,181
zotadase-k,satadase,word_level_error,4,182
raberiv-d,rabariv-d,character_substitution,1,184
onastrone,onostrone,character_substitution,1,185
dyclonine,diclanine,character_substitution,2,187
meaxon-pg,myxone,word_level_error,5,193
inebilizumab,anabolizumab,word_level_error,3,194
tosylate,,segmentation_error,8,196
ospidol,aspidol,character_substitution,1,198
ambrolite-d,ambralite,character_insertion_deletion,3,199
dupent-d,dupont,character_insertion_deletion,3,201
aova-ez,ovozy,word_level_error,5,204
extended-release,extended,phonetic_substitution,8,206
rabeprazole,raprozole,character_insertion_deletion,3,206
acid-related,acid,segmentation_error,8,206
acyclovir,aciclovir,character_substitution,1,209
betamethasone,beta-methasone,character_substitution,1,213
meropenem-vaborbactam,meripnum,phonetic_substitution,15,214
combimist-l,combimis,character_insertion_deletion,3,215
gopan-l,gopanel,character_substitution,1,216
monocef-o-cv,monocepho,phonetic_substitution,5,217
amtan-at,amten,phonetic_substitution,4,218
abufen-c,ibuphen,word_level_error,5,221
chlorpheniramine,chlorophenyramine,character_substitution,2,222
codeine,codine,character_substitution,1,222
mofecon-s,movconis,phonetic_substitution,3,224
cerijoint-gsm,serojoint,segmentation_error,6,225
chlorpheniramine,chlorophenyramine,character_substitution,2,226
topnac-p,top,segmentation_error,5,228
ergomont-a,ergomont,character_insertion_deletion,2,229
difluprednate,difloprednate,character_substitution,1,230
pantoloc-40,panteloc,phonetic_substitution,4,232
pzostar-d,pizostar,phonetic_substitution,3,239
elfi-xl,elphi-xl,character_substitution,2,240
neuron-md,neuronim,character_substitution,2,245
creon-40000,creon,phonetic_substitution,6,247
cluta-b,kutopi,word_level_error,5,248
metoprolol,metaprolol-sr,phonetic_substitution,4,249
azamox-cv,azomox,phonetic_substitution,4,253
widely-used,widely,segmentation_error,5,254
fimial-lb,fimulil,phonetic_substitution,4,258
stiripentol,styropentol,character_substitution,2,264
dibucaine,dibucane,character_substitution,1,268
fampridine,phampradine,word_level_error,3,270
elnerve-acs,l-nervecius,word_level_error,5,271
rosave-c,ros-afc,phonetic_substitution,4,272
levo-forte,levoforte,character_substitution,1,273
desferrioxamine,dysferioxamine,character_substitution,2,274
sepecyl-xt,cepacil,word_level_error,6,275
nervicin-g,nervous,phonetic_substitution,6,278
oflacin-dx,aflessin,word_level_error,7,280
themicaine-ad,thymocaine,phonetic_substitution,5,282
glucoryl-m,glucor-lm-tab,phonetic_substitution,5,283
tolfen-nf,tolfenaneth,phonetic_substitution,4,285
pantapil-d,pantopal-d,character_substitution,2,288
omeprazole,omprozole,character_substitution,2,291
ec-caps,egg,segmentation_error,6,291
oflatoon-oz,aflatuno,word_level_error,5,292
etormet-th,atorma,segmentation_error,6,294
ophar-oz,alfaro's,word_level_error,6,297
apdrops-dm,epidropstium,word_level_error,5,300
seradic-a,ceratica,word_level_error,3,303
cefjone-o,cefjo,segmentation_error,4,304
aminoacridine,aminocridine,character_substitution,1,305
pantolex-dsr,pantalex,phonetic_substitution,5,306
top-pan,teopipian,character_insertion_deletion,3,307
dermatologist-recommended,dermatologist,phonetic_substitution,12,310
pyrimethamine,pyrimthamine,character_substitution,1,311
well-documented,well,segmentation_error,11,312
pio-q,paoq,character_substitution,2,315
ke-toza,ketose,phonetic_substitution,3,316
propiomazine,propiamazine,character_substitution,1,319
alis-at,alice,word_level_error,4,320
silodonol-d,silodinol,character_insertion_deletion,3,323
roztel-h,rhas,segmentation_error,7,326
i-6,,character_insertion_deletion,3,328
ceftop-cl,ceftop,character_insertion_deletion,3,330
glubex-z,glubex,character_insertion_deletion,2,332
barohist-d,baro,segmentation_error,6,334
chymosoz-d,chimasos,phonetic_substitution,5,335
altifer-xt,altiforex,phonetic_substitution,3,336
albeta-sr,albatozar,phonetic_substitution,4,337
lycodic-sg,lycoticus,phonetic_substitution,3,338
plexus-pg,plexus,character_insertion_deletion,3,340
tersus-d,tersaz,phonetic_substitution,4,342
fexabit-m,vexibetam,word_level_error,4,343
sulphadiazine,sulfadiazine,character_substitution,2,344
cefodiv-o,cefadivo,character_substitution,2,345
in-111,in,phonetic_substitution,4,346
l-ornithine,elanothine,word_level_error,5,347
mnc-od,mncod,character_substitution,1,349
scozen-xt,scozen,character_insertion_deletion,3,351
alp-ft,alpfd,character_substitution,2,352
amco-z,amcos,character_substitution,2,354
valponeo-cr,valponiosir,phonetic_substitution,3,356
trastuzumab-dkst,trastuzumab-dksd,character_substitution,1,357
erlotinib,erlitin,character_insertion_deletion,3,360
amitone,ametone,character_substitution,1,362
acyclovir,a,segmentation_error,8,369
divon-s,devenesse,phonetic_substitution,5,370
benver-i,benvrytab,phonetic_substitution,5,371
albendazole,albendazzle,character_substitution,1,371
cilnidipine,cilinidib,phonetic_substitution,5,373
cefilase-az,cephalase,phonetic_substitution,6,375
beta-cyclodextrin,beta-iclodxtrin,character_insertion_deletion,3,377
lenova-m,linovium,phonetic_substitution,3,380
triflupromazine,trifloprimazine,character_substitution,2,381
gluton-600,gluten,phonetic_substitution,5,383
oxcarbazepine,oxcar,segmentation_error,8,384
amlomate-xr,amlimatexar,phonetic_substitution,3,385
ambroxol,ambrexol,character_substitution,1,386
lameco-od,lamico-od,character_substitution,1,387
citilin-p,citilin,character_insertion_deletion,2,392
scoff-om,scaphoem,phonetic_substitution,5,395
flu-induced,flu,segmentation_error,8,395
nicotinate,,segmentation_error,10,398
nuart-l,new,segmentation_error,6,403
malaviz-a,malavizza,character_substitution,1,405
starclop-a,starclub,phonetic_substitution,4,409
diatrizoate,diatriazote,character_substitution,2,411
opi-ot,o-p-a-o-t-i-n-j,segmentation_error,10,413
nervmax-nt,nervemax,phonetic_substitution,4,414
sinamum-cold,cinnamon,segmentation_error,8,419
rapidcure-d,rapidcure,character_insertion_deletion,2,422
l-tetrahydropalmatine,l-tetrahydropamidine,phonetic_substitution,3,425
choline,colleen,phonetic_substitution,4,426
gabaprime-nt,gaba,segmentation_error,8,428
cobimep-od,colbamipo-d,word_level_error,5,429
droperidol,droprudol,character_substitution,2,430
amoxycillin,amoxicillin,character_substitution,1,431
nuwin-p,nu1p,word_level_error,4,433
cytarabine,cytorebine,character_substitution,2,434
feriter-s,ferritin,word_level_error,5,436
cofar-d,koffar,word_level_error,4,438
well-established,well,segmentation_error,12,443
gulbider-m,golbidurim,phonetic_substitution,3,444
nu-ipl,anuapil,word_level_error,4,446
glyvog-m,gleevogem,phonetic_substitution,3,447
tenlifast-m,tenlafast-m,character_substitution,1,448
medroxyprogesterone,medrexiprogesterone,character_substitution,2,450
nurosler-p,neurosler,phonetic_substitution,3,457
efonidipine,affinidipine,word_level_error,3,459
saquinavir,saquenavia,character_substitution,2,464
fefast-as,fafast,phonetic_substitution,4,467
cetra-z,cetra's,character_substitution,2,470
cinchocaine,cinchucane,character_substitution,2,472
atormac-cv,atormax,phonetic_substitution,4,474
aclozen-mr,a,segmentation_error,9,475
acorbate-z,acorbates,character_substitution,2,476
ingavit-b6,engavit,word_level_error,4,477
drobia-m,drobir,character_insertion_deletion,3,478
beclomethasone,biclomthosone,phonetic_substitution,3,479
asenapine,asana,segmentation_error,5,480
amlosafe-ls,amlisafil-s,phonetic_substitution,4,482
motodin-ms,modadin,phonetic_substitution,5,484
lofexidine,lofxidine,character_substitution,1,485
deosone,diosone,character_substitution,1,487
wibatol-o,wibitalo,phonetic_substitution,3,488
gababit-mn,gababetamin,phonetic_substitution,3,490
phenylephrine,pheylephrine,character_substitution,1,492
vardine-m,vardinem,character_substitution,1,493
mixtard-50,mixtart,phonetic_substitution,4,494
cefoperazone,cefeprazone,character_substitution,2,498
morcecal-mz,morseculum,phonetic_substitution,4,499
zevert-pvg,zevert,phonetic_substitution,4,500
dmbest-p,dienbist,phonetic_substitution,6,501
monurol,monirol,character_substitution,1,504
prol,prawl,character_substitution,2,506
mom-iron,momiron,character_substitution,1,507
cenobamate,cenobumate,character_substitution,1,508
troyperazone-s,troprosanus,phonetic_substitution,7,509
fc-tab,fz,segmentation_error,5,510
stage-2,stage,character_insertion_deletion,2,511
spirox-d,spirox,character_insertion_deletion,2,512
repotrectinib,rupatricktinib,phonetic_substitution,4,513
sulphadiazine,sulfadiazine,character_substitution,2,515
alkavervir,alka-vivir,phonetic_substitution,3,519
carex-mv,kercsim,word_level_error,6,521
disoval-er,dissuval,phonetic_substitution,5,522
xpect-ls,x-bactylus,phonetic_substitution,5,526
doxynol,doxanol,character_substitution,1,527
e-cate,ecate,character_substitution,1,533
sulphate,sulfate,character_substitution,2,535
orni-o,orneotab,word_level_error,5,536
zuclopenthixol,zoclopenthic,phonetic_substitution,4,538
biggaba-n,bigobe,word_level_error,5,539
op-zole,ops,segmentation_error,5,541
benznidazole,benzeneidazole,character_insertion_deletion,2,549
oflab-oz,oflebo,character_insertion_deletion,3,553
dexasone,dexazone,character_substitution,1,554
pazo-dsr,paso,segmentation_error,5,556
acebutolol,a,segmentation_error,9,557
over-the-counter,over,segmentation_error,12,558
dolopir-md,dulipirin,phonetic_substitution,5,559
fecon-hp,feckinhp,phonetic_substitution,3,560
esomeprazole,esamprazole,character_substitution,2,563
xinafoate,xenophote,phonetic_substitution,5,564
icor-100,ica-1-100,word_level_error,3,567
esperam-ls,esperomel-s,phonetic_substitution,3,575
fenvolk-p,phenvol,word_level_error,5,576
astymin-3,a,segmentation_error,8,577
thiacetazone,they,segmentation_error,9,580
cetiriz-d,ceteris,phonetic_substitution,4,581
sulphate,sulfate,character_substitution,2,582
decanoate,decanote,character_substitution,1,583
opd-oz,opidiozetab,phonetic_substitution,6,584
mezelo-g,mozilla,word_level_error,5,585
vilazodone,velazodone,character_substitution,1,587
margetuximab-cmkb,margotuximab,phonetic_substitution,6,589
axsol-sp,axalis,phonetic_substitution,4,592
acolate,accolade,character_substitution,2,595
calcyther-lf,calcido,phonetic_substitution,8,596
corge-c,corge,character_insertion_deletion,2,598
povidone,pavidone,character_substitution,1,599
alof-t,alof,character_insertion_deletion,2,600
c-tax-o,ceteac,phonetic_substitution,5,602
galcanezumab-gnlm,galkynzumabgine,phonetic_substitution,7,604
omerit-dsr,omrit,phonetic_substitution,5,606
delnim-sp,delnames,phonetic_substitution,3,607
methocal-k27,methacol,phonetic_substitution,6,608
poena-o,pono-o,character_substitution,2,609
jolyon-md,jolionmd,character_substitution,2,612
magnazone,magnezone,character_substitution,1,613
beta-nicardia,batenicardia,phonetic_substitution,3,615
chlortalidone,chlorotalidone,character_substitution,1,619
voveran-d,vovarin,phonetic_substitution,4,624
troleandomycin,trolandomycin,character_substitution,1,625
renol-o,renolo,character_substitution,1,626
deeaid-d,d8-d,segmentation_error,5,629
rapkair-i,wrapcare,word_level_error,5,632
sandol,sandal,character_substitution,1,633
largyl-n,largilantab,phonetic_substitution,5,635
pilocarpine,pylacarpine,character_substitution,2,637
nolcer-d,nulser,phonetic_substitution,4,641
lcvit-e,lcvt,character_insertion_deletion,3,643
saimox-cv,samox,segmentation_error,4,644
amoxicillin,amexicillin,character_substitution,1,644
esomeprazole,esomprazole,character_substitution,1,646
roupan-d,rup,segmentation_error,5,647
sc-talo,escitalo,character_substitution,2,648
zolome-rd,zolomar,character_insertion_deletion,3,653
z-cal,zcl,character_insertion_deletion,2,654
osteofit-max,osteophyteme,phonetic_substitution,6,656
dextroamphetamine,dextromphetamine,character_substitution,1,657
dextroamphetamine,dextromphetamine,character_substitution,1,657
zarbera-n,zabara,word_level_error,4,658
preneu-nm,pernuinem,phonetic_substitution,5,659
abciximab,ibziximab,character_substitution,2,661
lexime-cv,lexime,character_insertion_deletion,3,663
obactin-tz,obactin-2-z,character_substitution,2,665
vemurafenib,vimuraf,phonetic_substitution,5,668
lorlatinib,lolatinib,character_substitution,1,669
vancomycin,vancomyce,character_substitution,2,671
iroplex-l,iroplexel,character_substitution,1,672
telitoss-h,teletos,phonetic_substitution,4,675
mabtas-ra,mabdassar,phonetic_substitution,4,676
4-dichlorobenzyl,for,segmentation_error,14,678
flunarizine,flunorazine,character_substitution,2,681
polatuzumab,polituzumab,character_substitution,1,682
voglus-gm,vogelus,phonetic_substitution,4,685
sunce-d3,sans,segmentation_error,6,687
onfly-md,onfliam,phonetic_substitution,3,691
glimfirst-mp,glymphristin,phonetic_substitution,7,693
moxycon-cl-lb,moxicum,phonetic_substitution,9,694
haloperidol,helopridol,character_substitution,2,695
osani-o,asanio,character_substitution,2,698
ornidazole,onidazole,character_substitution,1,698
ceruvin-a,serovin,word_level_error,4,701
olic-am,alicum,word_level_error,3,704
sulfate,sulphate,character_substitution,2,706
anileridine,aniliridine,character_substitution,1,707
zentorin-a,zanturin,phonetic_substitution,4,711
phosfomin-xt,phosphamine,phonetic_substitution,6,713
duogen-deso,duogendi,phonetic_substitution,4,716
vizcral-o,vizcralo,character_substitution,1,718
leemazole-d,limazol,phonetic_substitution,5,719
gabizen-m,gabizanem,character_substitution,2,722
sorafenib,sorafnib,character_substitution,1,723
hiperblo-h,hyperblowh,character_substitution,2,725
desvin-er,dysphenia,phonetic_substitution,7,727
prolonged-release,prolonged,phonetic_substitution,8,727
voglizest-m,voglise,phonetic_substitution,5,728
skel-c,skell,character_substitution,2,730
aclobol,eclabal,word_level_error,3,732
ketriplin-c,ketropline,phonetic_substitution,3,733
fergen-xt,phogen,word_level_error,6,735
pyogin-k,paging,phonetic_substitution,4,736
lactodex-lbw,lactodexal,character_insertion_deletion,3,737
clocortolone,clocortalon,character_substitution,2,739
l-mox-d,lm-ox-d,character_substitution,2,741
feritas-xt,veritas,word_level_error,4,752
pantozil-dsr's,pantazil,phonetic_substitution,7,753
ferinom-xt,farin-mxd,phonetic_substitution,4,754
multi-8,malt,phonetic_substitution,4,757
oris-c,rsc,character_insertion_deletion,3,760
pentasure-dls,pentazur,phonetic_substitution,6,765
ulrid-dsr,our,segmentation_error,8,768
benidipine,binidipine,character_substitution,1,770
ulobetasol,ulubtasol,character_substitution,2,778
ofsum-oz,ofsimo,character_insertion_deletion,3,781
axored-xt,axord,phonetic_substitution,4,782
ceftarva-t,ceftava,character_insertion_deletion,3,783
purepan-dm,purapandium,phonetic_substitution,4,787
kurepane-d,curapine,word_level_error,5,789
fixibid-of,fixibidav,phonetic_substitution,3,790
gertac-dm,girtactium,phonetic_substitution,4,791
accutaz-ps,acutaz-ps,character_substitution,1,792
orex-m,oryx,character_insertion_deletion,3,793
probetes-kbe,probates,phonetic_substitution,5,794
halobetasol,halobtussle,phonetic_substitution,4,795
bone-c,bone,character_insertion_deletion,2,796
rabnic-dsr,ravnik,phonetic_substitution,6,797
glucreta-m,glucrida,phonetic_substitution,4,799
orcinac-p,orsinac,character_insertion_deletion,3,800
naldemedine,naldimidine,character_substitution,2,802
chlorpheniramine,chlorophenyramine,character_substitution,2,804
fephar-z,pfeffers,word_level_error,6,805
articaine,articane,character_substitution,1,808
dinopain-sr,dynapain,phonetic_substitution,5,813
zifol,xifal,character_substitution,2,815
temax-h,tim,segmentation_error,5,817
extended-release,extended,phonetic_substitution,8,818
bupraset-xr,buprazet-xr,character_substitution,1,818
brodim-v3,broadam,phonetic_substitution,5,819
almal-z,almol-z,character_substitution,1,820
a-teem,atym,character_insertion_deletion,3,822
rls-9g,rls9g,character_substitution,1,825
adalimumab-aaty,adalimumabadi,phonetic_substitution,4,826
easy-to-administer,easy,segmentation_error,14,827
tox-o,toxo,character_substitution,1,828
besoloc-h,bisali,word_level_error,6,829
sulphate,sulfate,character_substitution,2,830
tel-ah,tlah,character_insertion_deletion,2,835
aricip-tz,erysiptezy,word_level_error,6,836
cadol-p,cadolp,character_substitution,1,837
glantax-d,glantax,character_insertion_deletion,2,842
desoximetasone,disoxymtasone,phonetic_substitution,3,843
clin-v,clin,character_insertion_deletion,2,844
teratop-d,teratop,character_insertion_deletion,2,845
candid-tv,candid,character_insertion_deletion,3,846
pantadal-d,pantidol,phonetic_substitution,4,847
rapidon-od,rapidenol,phonetic_substitution,3,851
ftol-12,eftol-12,character_substitution,1,852
cu-64,q64,character_insertion_deletion,3,856
phiso-scrub,physoscrub,character_substitution,2,857
blinatumomab,blenodumomab,phonetic_substitution,3,860
telmiline,telmoline,character_substitution,1,862
ulcool,alcool,character_substitution,1,863
etidac-p,edudac,phonetic_substitution,4,864
olsalazine,alsalazine,character_substitution,1,865
topline,top,segmentation_error,4,868
nodard-sr,nautilus,word_level_error,7,869
provanol,provenol,character_substitution,1,870
oxsoralen-ultra,oxyr-alanotra,phonetic_substitution,7,872
acuprox-sr,acaproxasar,phonetic_substitution,3,873
kan-d3,knd3,character_insertion_deletion,2,874
cutting-edge,cutting,phonetic_substitution,5,875
axrol-d,axrol,character_insertion_deletion,2,880
well-known,well,segmentation_error,6,880
full-365,full,phonetic_substitution,4,883
candid-cl,candidcl,character_substitution,1,884
velpatasvir,velpertasvir,character_substitution,2,885
loril-ht,laurel-ht,phonetic_substitution,3,886
vago-d3,vego,word_level_error,4,888
amoxicillin,amexicillin,character_substitution,1,889
r-clav,arclav,character_substitution,2,892
prodol-ds,pret-lds,phonetic_substitution,4,894
prigalex-g,prigalex,character_insertion_deletion,2,895
silomax-d,xylemax,word_level_error,5,896
domperidone,tomperadone,character_substitution,2,898
zentonim-dt,zenton,phonetic_substitution,5,899
glimitip-m,glimity,phonetic_substitution,4,900
sultamicillin,celtamicillin,character_substitution,2,902
tosylate,toxelate,character_substitution,2,902
nucort-m,nucortem,character_substitution,1,903
flunarizine,flunoresine,phonetic_substitution,3,905
scaberase-if,scabry's,phonetic_substitution,7,906
panzac-d,pansacti,phonetic_substitution,3,907
nizonide-o,nizanido,character_insertion_deletion,3,913
olopatadine,allopatidine,word_level_error,3,914
irofur-xt,irafar,phonetic_substitution,5,918
cefiget-o,cefagate,phonetic_substitution,4,919
osteofit-c,osteo,segmentation_error,5,921
vizocef-cv,vizocith,word_level_error,5,926
vinicor-d,vinacard,phonetic_substitution,3,927
rosumac-asp,racimac,phonetic_substitution,7,932
purefol,purifol,character_substitution,1,934
jtus-sf,j-testsf,word_level_error,3,935
anaerid-s,aniridus,phonetic_substitution,3,938
cilacar-m,silicorum,word_level_error,4,941
cilnidipine,silnodipine,character_substitution,2,941
glynamic-m,glynamichem,character_substitution,2,947
lorizil-p,lorazil-p,character_substitution,1,949
rolistat-f,rolastatef,character_substitution,2,950
lytix-d,lytix,character_insertion_deletion,2,953
cupine-l,cupinel,character_substitution,1,954
atisac-p,atisak,character_insertion_deletion,3,955
molmol,malmal,character_substitution,2,956
succinate,sexenate,phonetic_substitution,4,957
seben-i,7,segmentation_error,7,958
kufrox-dm,cafroxdium,word_level_error,5,959
alcaftadine,alkaftadin,character_substitution,2,961
dibiglim-p,dibiglim,character_insertion_deletion,2,962
lysatone,lysotone,character_substitution,1,963
vitdan-e,vitany,character_insertion_deletion,3,964
extended-release,extended,phonetic_substitution,8,966
pyridoxine,pyridox,character_insertion_deletion,3,966
tinivista-nf,tenavista,phonetic_substitution,5,967
tryptacare-h,triptek,phonetic_substitution,7,969
norlut-n,nolaten,word_level_error,3,970
telcer-h,telser,character_insertion_deletion,3,971
feri-max,ferriamax,character_substitution,2,974
floxitril-oz,phloxytrilose,word_level_error,6,981
acetyl-dl-methionine,acetaldehylmethion,phonetic_substitution,9,985
omega-3-carboxylic,omega-3,segmentation_error,11,986
well-documented,well,segmentation_error,11,989
mytox-a,mitalk,word_level_error,5,990
sleepwell-s,sleep,segmentation_error,6,991
sulphate,sulfate,character_substitution,2,995
trymoto-forte,trimoto,phonetic_substitution,7,996
lupimon-l,lupamin,phonetic_substitution,4,997
levocetirizine,levostirazine,phonetic_substitution,3,997
clavrel-ds,claviral,phonetic_substitution,5,998
alerchek-od,elechiko,word_level_error,5,999
nutiva-pro,nutavipare,phonetic_substitution,5,1000
plant-based,plant,phonetic_substitution,6,1000
dior-sr,diuresar,phonetic_substitution,3,1001
oripect-cc,oripac,phonetic_substitution,5,1002
marpro-z,marpro's,character_substitution,2,1006
meco-g,meikoji,phonetic_substitution,4,1009
vaxprine,vaxprein,character_substitution,2,1011
clav-cill,clavisil,phonetic_substitution,3,1012
amoxicillin,amexicillin,character_substitution,1,1012
ecanol,econol,character_substitution,1,1014
hypa-d,hyperd,character_substitution,2,1016
relifen-sp,rilipin,phonetic_substitution,6,1018
oflo-oz,afloosi,word_level_error,4,1019
sulfate,sulphate,character_substitution,2,1020
nexovas-tm,nexova's,phonetic_substitution,4,1023
pargyline,pargoline,character_substitution,1,1024
airtec-fb,ertikiv,word_level_error,7,1025
asmeth-g,azimuth,phonetic_substitution,5,1026
lartan-h,lart,segmentation_error,4,1028
glimpi-mv,glympi,phonetic_substitution,4,1029
nimodipine,nimidipine,character_substitution,1,1030
ebexid-b,,segmentation_error,8,1032
tetraborate,tetrabarate,character_substitution,1,1034
benidin-m,benidenem,character_substitution,2,1035
nency-md,nensium,phonetic_substitution,4,1036
prosfer-xt,prosfer-xd,character_substitution,1,1037
osimertinib,osimertin,character_insertion_deletion,2,1041
mesylate,ibmesylate,character_insertion_deletion,2,1041
amoxicillin,amexicillin,character_substitution,1,1044
gastracaine,gastrocaine,character_substitution,1,1045
tramopic-sr,tramopic,character_insertion_deletion,3,1047
vepra-d,vipra-d,character_substitution,1,1049
anti-d,anti-d-gamma,phonetic_substitution,6,1051
lorfast-am,lorfaste,character_insertion_deletion,3,1053
breatholline,breathalyne,phonetic_substitution,3,1058
pharcid-dsr,farset,segmentation_error,9,1059
methylberry-lc,methyl,segmentation_error,8,1061
woflox-oz,wafloxos,phonetic_substitution,3,1063
cofsy-ls,coff-cls-cir,phonetic_substitution,7,1065
levosalbutamol,levazalbutamyl,phonetic_substitution,3,1065
floxar-oz,phloxar,word_level_error,5,1066
betzee-s,betsy,word_level_error,5,1067
c-prox-lb,cprox,phonetic_substitution,4,1074
cognitive-enhancing,cognitive,phonetic_substitution,10,1075
talocin-oz,talisanas,phonetic_substitution,6,1076
tolterodine,tolteridine,character_substitution,1,1077
l-tartrate,l-tart,phonetic_substitution,4,1077
alltensive-h,altensive,character_insertion_deletion,3,1078
dalet-gm,dalgium,word_level_error,4,1079
reonate-200,reonate,phonetic_substitution,4,1080
genrab-l,genrabel,character_substitution,1,1084
artrin-l,artranel,character_substitution,2,1085
grapzone-t,grapsone,character_insertion_deletion,3,1086
naclomol-k,naclomol,character_insertion_deletion,2,1088
intraflox-oz,intrafloxos,character_substitution,2,1090
dyrade-m,diarrhaid,word_level_error,7,1091
cefzox-tz,cefsux,phonetic_substitution,5,1093
kansel-ds,cancelds,word_level_error,3,1094
oflopip-o,oflopipotab,phonetic_substitution,4,1095
anatyl-d,anatil,character_insertion_deletion,3,1096
reditux-ra,rodetoxera,phonetic_substitution,4,1098
chlorthalidone,chlorothalidone,character_substitution,1,1099
betaxolol,beta-xylol,character_substitution,2,1099
methenamine,methanamine,character_substitution,1,1100
hippurate,hipurate,character_substitution,1,1100
axeclo-mr,exceclo,word_level_error,5,1102
amrinone,amrinon,character_substitution,1,1104
faxtin-a,faxtin,character_insertion_deletion,2,1105
actobal-m,actable,phonetic_substitution,4,1106
t-110,t110,character_substitution,1,1107
oxalic-nz,oxalicin,character_substitution,2,1108
jetra-p,jitra,character_insertion_deletion,3,1110
vedolizumab,vetalizumab,character_substitution,2,1111
tenofovir,tenofovir-disaproxil,phonetic_substitution,11,1112
fumarate,,segmentation_error,8,1112
cefder-cv,ceftocv,word_level_error,4,1114
