correct,asr,error_type,edit_distance,sentence_idx
syr,wire,word_level_error,3,190
gemiquin,gemaquin,character_substitution,1,191
gabanext,gabinext,character_substitution,1,192
nmosd,mast,word_level_error,3,194
abenzer,abenza,character_substitution,2,195
umbralisib,umbralisobtosalate,phonetic_substitution,9,196
zinc,zinc-calx,segmentation_error,5,197
calx,,segmentation_error,4,197
zorovon,zoravan,character_substitution,2,200
platinex,platonics,phonetic_substitution,4,203
healthcare,health,segmentation_error,4,205
combispas,combispa's,character_substitution,1,205
gerd,jerd,character_substitution,1,206
wiplin,whiplin,character_substitution,1,207
gel,gl,character_substitution,1,207
cinris,cinrus,character_substitution,1,210
healthcare,health,segmentation_error,4,210
nifurtimox,nefertamox,phonetic_substitution,3,211
healthcare,health,segmentation_error,4,212
ipratropium,ipitropium,character_substitution,2,215
rotacap,del,segmentation_error,7,215
cefpodoxime,cefpidoxime,character_substitution,1,217
syr,,character_insertion_deletion,3,217
papad,peppad,character_substitution,2,219
flavors,flavours,character_substitution,1,219
painja,painogel,word_level_error,4,220
gel,,character_insertion_deletion,3,220
polistirex,polystyrix,phonetic_substitution,3,222
polistirex,polystyrix,phonetic_substitution,3,222
syr,sir,character_substitution,1,223
ropikem,rapicum,phonetic_substitution,3,231
healthcare,health,segmentation_error,4,232
patiromer,pataromosorbitex,phonetic_substitution,9,233
sorbitex,,segmentation_error,8,233
jidox,g-dox,character_substitution,2,234
nayaclav,naoclav,character_substitution,2,235
gonadotrophin,gonadotropin,character_substitution,1,236
healthcare,health,segmentation_error,4,237
spectoren,spectorn,character_substitution,1,237
fagonia,faginia,character_substitution,1,241
lizok,lizark,character_substitution,2,242
tinzaparin,tinsyparen,phonetic_substitution,3,243
pediasure,pediazure,character_substitution,1,244
monocef,monocephi,character_insertion_deletion,3,246
sr,,character_insertion_deletion,2,249
opun,apen,character_substitution,2,250
maxamin,maximin,character_substitution,1,251
easecaps,escaps,character_insertion_deletion,2,252
cefoclav,cepheclav,phonetic_substitution,3,254
ambenonium,ambinonium,character_substitution,1,256
vismodegib,vismojib,character_insertion_deletion,3,260
trittico,tritico,character_substitution,1,262
tab,,character_insertion_deletion,3,263
dextranomer,dextronomer,character_substitution,1,265
clopod,clopid,character_substitution,1,266
pansum,pansom,character_substitution,1,267
solib,salib,character_substitution,1,269
tab,xt-tab,character_insertion_deletion,3,275
alfa,alpha,character_substitution,2,276
ferotrex,ferritrex,character_substitution,2,277
vancenase,vansinase,character_substitution,2,279
pregicob,prejicab,character_substitution,2,281
healthcare,health,segmentation_error,4,281
tab,,character_insertion_deletion,3,283
amimind,emamind,character_substitution,2,286
cefudan,cefidin,character_substitution,2,290
healthcare,health,segmentation_error,4,292
devlup,devlop,character_substitution,1,293
name,named,character_substitution,1,295
feranid,farinid,character_substitution,2,298
argella,argilla,character_substitution,1,299
zosert,zozert,character_substitution,1,301
paroex,parox,character_substitution,1,302
healthcare,health,segmentation_error,4,304
aceplex,a,segmentation_error,6,308
viltolarsen,viltilarsen,character_substitution,1,309
crm,serum,character_insertion_deletion,3,310
blepharis,blepharous,character_substitution,2,313
cobamin,cobamen,character_substitution,1,314
vitamin,vitam,character_insertion_deletion,2,314
doxynil,doxanil,character_substitution,1,317
vitamin,vitam,character_insertion_deletion,2,318
healthcare,health,segmentation_error,4,319
flomina,flamina,character_substitution,1,321
healthcare,health,segmentation_error,4,321
healthcare,health,segmentation_error,4,322
ketotifen,ketotyphan,phonetic_substitution,4,322
bentoquatam,bentiquatum,character_substitution,2,324
today,to-day,character_substitution,1,326
rifa,refa-i6,phonetic_substitution,4,328
kiton,kitten,character_substitution,2,329
zapacid,zepacid,character_substitution,1,331
viadek,viaduct,word_level_error,3,333
healthcare,health,segmentation_error,4,338
lariago,lauriego,character_substitution,2,339
beta,beta-carotene,segmentation_error,9,341
carotene,,segmentation_error,8,341
pentetreotide,1,segmentation_error,13,346
healthcare,health,segmentation_error,4,349
alrubicin,arubicin,character_substitution,1,350
forte,xt40,word_level_error,5,351
cognicent,cognizant,character_substitution,2,353
healthcare,health,segmentation_error,4,354
syr,sir,character_substitution,1,355
ocuclear,acaclear,character_substitution,2,359
hydrochloride,,segmentation_error,13,360
activ,active,character_substitution,1,361
healthcare,health,segmentation_error,4,362
anbilac,anbolac,character_substitution,1,363
manoll,manol-syr,word_level_error,4,364
syr,,character_insertion_deletion,3,364
healthcare,health,segmentation_error,4,365
glimid,glymid,character_substitution,1,365
tromide,tramide,character_substitution,1,366
atam,atom,character_substitution,1,367
tab,,character_insertion_deletion,3,371
healthcare,health,segmentation_error,4,372
caberlee,caberly,character_substitution,2,372
inj,inge,character_substitution,2,376
mosapride,mossopride,character_substitution,2,377
norelgestromin,norlgestramin,character_substitution,2,378
emstal,mstyle,word_level_error,3,382
levokof,levacoff,phonetic_substitution,3,386
mollugo,melugo-serviana,segmentation_error,11,388
cerviana,,segmentation_error,8,388
recoguard,recogard,character_substitution,1,389
avelife,avalife,character_substitution,1,393
meconerv,meconerve,character_substitution,1,394
syr,s,character_insertion_deletion,2,394
mintovit,mintavit,character_substitution,1,396
multivitamin,multivitam,character_insertion_deletion,2,396
avas,elvis,word_level_error,3,397
methyl,methylnicotinate,segmentation_error,10,398
percocet,percos,character_insertion_deletion,3,400
tab,tiv-b,character_insertion_deletion,3,401
eficlav,efeclav,character_substitution,1,402
rosycap,rosicab,character_substitution,2,404
gold,,segmentation_error,4,406
amikanex,amacanex,character_substitution,2,407
mvimin,embermin,word_level_error,4,408
cidogrel,sidagrel,character_substitution,2,410
zeposia,zapposia,character_substitution,2,412
inj,,character_insertion_deletion,3,413
ocriplasmin,acroplasmin,character_substitution,2,415
flurbiprofen,flerbiprofen,character_substitution,1,416
justin,justin's,character_insertion_deletion,2,420
supp,sup,character_substitution,1,420
pisum,pissum,character_substitution,1,421
healthcare,health,segmentation_error,4,424
escilure,essilier,phonetic_substitution,4,427
healthcare,health,segmentation_error,4,429
peni,penny,character_substitution,2,432
4l,for,word_level_error,3,432
daunorubicin,donorubicin,character_substitution,2,434
nalidys,naladiztab,phonetic_substitution,6,435
tab,,character_insertion_deletion,3,435
baclotop,baclitop,character_substitution,1,437
spert,spurt,character_substitution,1,440
sinucold,sinu,segmentation_error,4,441
provider,provider's,character_insertion_deletion,2,442
ament,a,segmentation_error,4,442
drez,drezzespoi,segmentation_error,6,445
spy,,character_insertion_deletion,3,445
haemaze,hime's,phonetic_substitution,5,449
provera,provera-40,character_insertion_deletion,3,450
maxoflam,maxiflam,character_substitution,1,453
gel,gl,character_substitution,1,453
healthcare,health,segmentation_error,4,455
oxacent,oxacin,character_substitution,2,455
healthcare,health,segmentation_error,4,457
ipratropium,iprotropium,character_substitution,1,458
duolin,dulin,character_substitution,1,458
rotacap,roticap,character_substitution,1,458
brethaire,bratira,phonetic_substitution,4,460
betawok,betawalk,character_substitution,2,461
levolab,levilab,character_substitution,1,463
invirase,inverase,character_substitution,1,464
visionace,visioniss,phonetic_substitution,3,465
orlistat,olostat,character_substitution,2,466
healthcare,health,segmentation_error,4,468
gonadotrophin,gonadotroph,character_insertion_deletion,2,469
vanic,vanictab,character_insertion_deletion,3,471
tab,,character_insertion_deletion,3,471
rosudac,rusudac,character_substitution,1,473
healthcare,health,segmentation_error,4,475
vitamin,vitam,character_insertion_deletion,2,476
healthcare,health,segmentation_error,4,477
counter,,segmentation_error,7,478
healthcare,health,segmentation_error,4,479
paed,,segmentation_error,4,483
coldloc,coldlock,character_substitution,1,486
barozin,barazin,character_substitution,1,491
somepra,sampra,character_substitution,2,495
eyebright,eye,segmentation_error,6,496
kalzana,calzana,character_substitution,1,497
sycot,cicot,character_substitution,2,502
gentamicin,gentamys,phonetic_substitution,4,503
hifen,hyphen,phonetic_substitution,3,505
disoproxil,disoproxyl,character_substitution,1,510
tixocen,tixosin,character_substitution,2,514
imirise,amirai,word_level_error,4,516
budesonide,budocinide,phonetic_substitution,3,517
hemex,hemex-tlb,segmentation_error,4,518
tab,,character_insertion_deletion,3,518
syr,vsyr,character_substitution,1,521
papillomavirus,papillomavirus-type,phonetic_substitution,5,523
type,,segmentation_error,4,523
doxovent,doxovant,character_substitution,1,524
healthcare,health,segmentation_error,4,524
ultroz,altraz,character_substitution,2,525
zincobal,zincubyl,character_substitution,2,528
vitamin,vitam,character_insertion_deletion,2,528
meom,myom,character_substitution,1,529
spasril,spastrel,character_substitution,2,530
dupent,dupant,character_substitution,1,531
ozenoxacin,oznexacin,character_substitution,2,532
gonadotrophin,gonadotropin,character_substitution,1,534
tab,,character_insertion_deletion,3,536
ofloxacin,oflexacin,character_substitution,1,536
alpoxime,alpuxime,character_substitution,1,537
sodium,,segmentation_error,6,540
zalpilo,xalpillo,character_substitution,2,542
permeth,permuth,character_substitution,1,543
healthcare,health,segmentation_error,4,544
actamase,actimase,character_substitution,1,544
etron,edron,character_substitution,1,545
syr,minixer,segmentation_error,6,546
lycosync,like,segmentation_error,7,547
wycef,ysf,character_insertion_deletion,3,548
guggul,guggle,character_substitution,2,550
nxpram,anaxbram,character_insertion_deletion,3,551
retapamulin,ritapamilin,character_substitution,2,552
sertaspor,certasper,character_substitution,2,555
healthcare,health,segmentation_error,4,559
velosef,velosif,character_substitution,1,561
iscocip,iscasip,character_substitution,2,562
healthcare,health,segmentation_error,4,563
novrad,novirad,character_substitution,1,566
ovral,avril,character_substitution,2,569
pizime,p-zyme,character_substitution,2,570
dotarin,dotterin,character_substitution,2,571
zenvital,zen,segmentation_error,5,573
ostofen,astafen,character_substitution,2,574
tab,,character_insertion_deletion,3,576
mycostar,micostar,character_substitution,1,578
tab,,character_insertion_deletion,3,584
ofloxacin,ofluxacin,character_substitution,1,584
inj,ing,character_substitution,1,586
piper,pipercubeba,segmentation_error,6,588
cubeba,,segmentation_error,6,588
healthcare,health,segmentation_error,4,589
neurobion,neurobian,character_substitution,1,590
caraway,carraway,character_substitution,1,591
novobiocin,navobios,phonetic_substitution,4,593
apium,epium,character_substitution,1,597
ostophyte,osteophyte,character_substitution,1,601
mofetil,moftil,character_substitution,1,605
metlavit,metlovite,character_substitution,2,611
inj,ing,character_substitution,1,611
vitamin,vitam,character_insertion_deletion,2,611
meuflox,muflox,character_substitution,1,614
todaycef,tadasef,phonetic_substitution,3,616
alfa,alpha,character_substitution,2,618
rho,rodi-immune,segmentation_error,10,620
immune,,segmentation_error,6,620
a'cold,a,segmentation_error,5,621
eribulin,erybulin,character_substitution,1,622
healthcare,health,segmentation_error,4,624
prv,pervy,character_insertion_deletion,2,627
nkacin,ncasen,phonetic_substitution,3,628
healthcare,health,segmentation_error,4,628
riaceft,ryoseft,phonetic_substitution,3,630
tab,,character_insertion_deletion,3,634
tab,,character_insertion_deletion,3,635
healthcare,health,segmentation_error,4,636
somapacitan,somopacetin,phonetic_substitution,3,638
eletriptan,electroptan,character_substitution,2,639
tab,tilby,character_insertion_deletion,3,642
pain,pain-relief,segmentation_error,7,642
relief,,segmentation_error,6,642
isocarboxazid,isocarboxazide,character_substitution,1,645
healthcare,health,segmentation_error,4,646
treatment,and,segmentation_error,7,647
griprid,grouperid,character_insertion_deletion,3,649
telsetra,telsitra,character_substitution,1,650
trivobit,trivabit,character_substitution,1,651
glycozide,glycoside,character_substitution,1,652
tcon,ticon,character_substitution,1,655
sarot,serot,character_substitution,1,660
visram,vaseram,character_substitution,2,666
mangifera,mangifora,character_substitution,1,667
siloxogene,silexogen,character_substitution,2,670
mg,5-100mg,segmentation_error,5,671
cipcin,sipsin,character_substitution,2,673
bactoquin,bactequine,character_substitution,2,677
pregvom,prigvam,character_substitution,2,679
pherin,ferrin,word_level_error,3,680
vedotin,vedatin,character_substitution,1,682
onoff,anof,character_substitution,2,683
svizera,asvasera,word_level_error,3,684
actiser,actizer,character_substitution,1,686
digyna,digena,character_substitution,1,688
powergyl,powergel,character_substitution,1,689
healthcare,health,segmentation_error,4,689
forte,p4t,word_level_error,4,693
rozadin,rosidin,character_substitution,2,696
healthcare,health,segmentation_error,4,697
redpro,redproplus,phonetic_substitution,4,699
tefifin,tefafen,character_substitution,2,700
healthcare,health,segmentation_error,4,700
provider,care,segmentation_error,7,700
snpro,sn,character_insertion_deletion,3,705
healthcare,health,segmentation_error,4,708
anzemet,anzimut,character_substitution,2,708
omesec,omsec,character_substitution,1,709
today,at,word_level_error,4,711
levamisole,levomisole,character_substitution,1,712
broadiclox,bratoclox,phonetic_substitution,3,714
skydec,skydeck,character_substitution,1,715
glymaril,glymerol,character_substitution,2,717
flupic,flupec,character_substitution,1,721
tussal,tussle,character_substitution,2,724
dinor,dinner,character_substitution,2,729
octamox,octomox,character_substitution,1,731
healthcare,health,segmentation_error,4,733
healthcare,health,segmentation_error,4,736
paziva,pasiva,character_substitution,1,738
healthcare,health,segmentation_error,4,740
etopres,etopos,character_substitution,2,742
voglibose,vaglibosia,phonetic_substitution,3,743
sisomicin,sisimicin,character_substitution,1,744
chlorphenesin,chlorophenicin,phonetic_substitution,3,745
flurid,fluorid,character_substitution,1,746
lusutrombopag,lucitrombopag,character_substitution,2,747
cetriace,cetreus,phonetic_substitution,4,748
sitagliptin,citaglipt,character_insertion_deletion,3,750
hirabezole,herbzol,phonetic_substitution,4,751
dual,dsr's,word_level_error,4,753
release,dual-release,segmentation_error,5,753
vizital,visital,character_substitution,1,755
pilon,pylon,character_substitution,1,759
healthcare,health,segmentation_error,4,761
pantosan,pantocin,character_substitution,2,762
ozagrel,osagryl,character_substitution,2,763
moktel,mactal,phonetic_substitution,3,764
gel,gl,character_substitution,1,767
phenty,fenty,character_substitution,2,769
seritem,serritin,phonetic_substitution,3,773
mefenamic,methanamic,word_level_error,3,774
lulibrut,lulibret,character_substitution,1,776
lot,l,character_insertion_deletion,2,776
tab,,character_insertion_deletion,3,777
forte,,segmentation_error,5,779
ofloxacin,afluxacin,character_substitution,2,781
gemiwal,jemima,word_level_error,3,784
relicef,relice,character_substitution,1,785
olbet,albatrio,word_level_error,5,786
trio,,segmentation_error,4,786
amyclox,amiclox,character_substitution,1,788
gel,mgl,character_substitution,2,793
healthcare,health,segmentation_error,4,794
tazarotene,tazoroutine,phonetic_substitution,3,795
hormorin,hormurin,character_substitution,1,798
tab,mtab,character_substitution,1,799
tab,p-tab,character_insertion_deletion,2,800
healthcare,health,segmentation_error,4,801
duvelisib,duvalizib,character_substitution,2,801
flarish,flourish,character_substitution,2,803
pantosec,pantosic,character_substitution,1,807
healthcare,health,segmentation_error,4,809
locet,los,character_insertion_deletion,3,809
alpelisib,alpilazib,phonetic_substitution,3,810
cefuna,sifuna,character_substitution,2,811
alprosym,al-prasim,phonetic_substitution,3,812
healthcare,health,segmentation_error,4,812
tusidac,tucidac,character_substitution,1,814
asmanil,s-manil,character_substitution,2,821
ifocip,ifosip,character_substitution,1,823
zoamet,zomet-uedps,segmentation_error,7,824
eye,,character_insertion_deletion,3,824
dps,,character_insertion_deletion,3,824
calcareas,calcareous,character_substitution,2,831
moxizyne,marxizine,word_level_error,3,833
healthcare,health,segmentation_error,4,836
bupropion,bipropion,character_substitution,1,838
desogestrel,disodestrol,word_level_error,3,840
starlium,stallium,character_substitution,1,848
methilex,methalax,character_substitution,2,849
tricef,tricev,character_substitution,1,850
folax,flax,character_substitution,1,853
cosyntropin,cosentropin,character_substitution,1,854
solfe,salf,character_substitution,2,855
pdlac,pedulac,character_insertion_deletion,2,858
odevixibat,out,segmentation_error,8,859
mitryp,metrip,character_substitution,2,861
healthcare,health,segmentation_error,4,861
healthcare,health,segmentation_error,4,862
ethinyl,ethanyl,character_substitution,1,866
kaltame,caltime,character_substitution,2,867
emispan,ms-band,word_level_error,5,871
healthcare,health,segmentation_error,4,872
loliv,lolev,character_substitution,1,875
inotersen,anotersen,character_substitution,1,876
aplet,eplet,character_substitution,1,877
desthama,d-stomach,phonetic_substitution,5,878
romiset,ramaset,character_substitution,2,879
healthcare,health,segmentation_error,4,879
syr,these,word_level_error,5,880
zingiber,zingiba,character_substitution,2,882
officinale,officinal,character_substitution,1,882
cap,three,word_level_error,5,883
healthcare,health,segmentation_error,4,883
healthcare,health,segmentation_error,4,886
rivastigmin,rivastigmine,character_substitution,1,887
bromolin,bromelain,character_substitution,2,889
dispertab,dispertav,character_substitution,1,889
pantakind,pantokind,character_substitution,1,893
migragesic,migragezik,character_substitution,2,897
healthcare,health,segmentation_error,4,900
theelin,phelan,word_level_error,3,901
prodec,prodek,character_substitution,1,908
uniphos,unifos,character_substitution,2,909
nerulin,nerolin,character_substitution,1,910
donepezil,donpizil,character_substitution,2,911
nervijen,nerveigen,character_substitution,2,912
inj,inge,character_substitution,2,912
nitazoxanide,nitazoxonide,character_substitution,1,913
daunorubicin,donorubicin,character_substitution,2,915
cepae,cepi,character_substitution,2,916
patisiran,paticerin,phonetic_substitution,3,917
tab,xt-tab,character_insertion_deletion,3,918
tiotropium,t-tropium,character_substitution,2,920
vomcin,vamsin,character_substitution,2,922
cogof,kugelf,word_level_error,4,923
ofloxacin,ofluxacin,character_substitution,1,924
healthcare,health,segmentation_error,4,924
healthcare,health,segmentation_error,4,926
ralinz,raelentz,character_insertion_deletion,3,928
bosentan,bosentin,character_substitution,1,929
senz,sense,character_substitution,2,930
pefloxacin,peflexacin,character_substitution,1,931
cloben,cloban,character_substitution,1,933
forhem,forham,character_substitution,1,936
winplex,when,word_level_error,5,940
bioferum,bioferrum,character_substitution,1,943
pentosan,pentosyn,character_substitution,1,944
vitallect,vitalectus,phonetic_substitution,3,945
syr,wire,word_level_error,3,945
ebal,eble,character_substitution,2,946
aglocid,eglacid,character_substitution,2,948
famycept,femicept,character_substitution,2,951
decandra,dicondra,character_substitution,2,952
healthcare,health,segmentation_error,4,953
tab,pitab,character_insertion_deletion,2,955
commiphora,camifora,phonetic_substitution,4,956
healthcare,health,segmentation_error,4,962
momez,moma's,phonetic_substitution,3,965
spinospas,spinospis,character_substitution,1,968
oflostar,ophlostar,character_substitution,2,972
ajowan,agarwan,word_level_error,3,973
kokkos,kakos,character_substitution,2,975
healthcare,health,segmentation_error,4,976
pacetaker,pasotaker,character_substitution,2,976
butabarb,butobarb,character_substitution,1,977
ipratropium,ippertropium,phonetic_substitution,3,978
doxacurium,doxycurium,character_substitution,1,980
ofloxacin,afloxacin,character_substitution,1,981
alogliptin,olagliptin,character_substitution,2,982
livoxa,levoxa,character_substitution,1,983
oculor,ocular,character_substitution,1,987
namgem,namjum,character_substitution,2,988
valdecoxib,valdicox,character_insertion_deletion,3,989
fenoldopam,phenyldopam,word_level_error,3,992
hymin,hymen,character_substitution,1,993
aplet,applet,character_substitution,1,994
tab,l-tab,character_insertion_deletion,2,997
healthcare,health,segmentation_error,4,998
piptal,piptol,character_substitution,1,1007
pentosan,pentosin,character_substitution,1,1008
healthcare,health,segmentation_error,4,1014
arodryl,aradryl,character_substitution,1,1015
ubimeth,eubimeth,character_substitution,1,1021
healthcare,health,segmentation_error,4,1027
voyse,voice,character_substitution,2,1027
healthcare,health,segmentation_error,4,1028
hemorrhage,haemorrhage,character_substitution,1,1030
syr,,character_insertion_deletion,3,1031
healthcare,health,segmentation_error,4,1032
seacod,c-cod,word_level_error,3,1033
liqd,licht,phonetic_substitution,3,1033
corymbosa,corumbosa,character_substitution,1,1038
colmox,comox,character_substitution,1,1039
ontil,ontol,character_substitution,1,1040
religem,religeum,character_substitution,1,1042
syr,,character_insertion_deletion,3,1046
glycopyrronium,glycuperonium,phonetic_substitution,3,1048
cinoxacin,synexacin,word_level_error,3,1050
gamma,,segmentation_error,5,1051
syr,msyr,character_substitution,1,1053
pinacidil,penicidyl,phonetic_substitution,3,1054
cyscolin,siskelin,word_level_error,4,1055
taxitorin,taxotorin,character_substitution,1,1056
amcloxin,amclixin,character_substitution,1,1057
onza,anza,character_substitution,1,1060
liqd,,segmentation_error,4,1062
healthcare,health,segmentation_error,4,1063
syr,,character_insertion_deletion,3,1065
tab,,character_insertion_deletion,3,1066
ofloxacin,ofluxacin,character_substitution,1,1066
tab,,character_insertion_deletion,3,1068
dorafem,doraefam,character_substitution,2,1069
pantodell,pantodon,phonetic_substitution,3,1070
tremidon,tremadin,character_substitution,2,1071
lerka,lurca,character_substitution,2,1072
celastrus,celestris,character_substitution,2,1075
healthcare,health,segmentation_error,4,1077
ddavp,ddaf,character_substitution,2,1081
loviroc,laviroc,character_substitution,1,1082
healthcare,health,segmentation_error,4,1086
healthcare,health,segmentation_error,4,1091
ulyses,ulysses,character_substitution,1,1092
healthcare,health,segmentation_error,4,1094
tab,,character_insertion_deletion,3,1095
ofloxacin,ofluxacin,character_substitution,1,1095
choloxin,colixin,character_substitution,2,1097
sudin,suden,character_substitution,1,1101
kid,kidplus,segmentation_error,4,1101
asclav,esclave,character_substitution,2,1103
healthcare,health,segmentation_error,4,1103
eleron,elrin,character_substitution,2,1109
syr,sir,character_substitution,1,1109
disoproxil,,segmentation_error,10,1112
argatroban,argotrobin,character_substitution,2,1113
cefixime,civixime,character_substitution,2,1114
capsovit,capsavit,character_substitution,1,1117
eminaz,m,segmentation_error,5,1119
healthcare,health,segmentation_error,4,1119
probitor,provider,phonetic_substitution,3,1120
toremifene,tormyphene,phonetic_substitution,4,1121
psoralea,ceralia,word_level_error,4,1123
corylifolia,corallifolia,character_substitution,2,1123
tab,tiv-b,character_insertion_deletion,3,1124
ixovit,iksavit,phonetic_substitution,3,1126
difirn,different,phonetic_substitution,4,1131
susp,,segmentation_error,4,1132
myfortic,mifotic,character_substitution,2,1135
alfavit,alphavit,character_substitution,2,1139
forcan,4-can,word_level_error,3,1140
amiwall,amoal,character_insertion_deletion,3,1141
mappan,mapan,character_substitution,1,1142
ciboz,cbos,character_substitution,2,1143
ofloxacin,afluxacin,character_substitution,2,1147
aspasweet,sbas,segmentation_error,6,1148
doxazosin,duxazos,character_insertion_deletion,3,1149
vitexid,vyxid,character_insertion_deletion,3,1150
finoflox,phenoflox,word_level_error,3,1151
healthcare,health,segmentation_error,4,1152
safepraz,safebrass,phonetic_substitution,3,1153
nerv,nerve,character_substitution,1,1154
malkure,malcure,character_substitution,1,1155
healthcare,health,segmentation_error,4,1156
fondaflo,fundaflo,character_substitution,1,1157
sr,s-r,character_substitution,1,1158
jectocos,jectoco's,character_substitution,1,1159
mylitrans,myelotrans,character_substitution,2,1161
sizonorm,sisonorm,character_substitution,1,1164
calx,calcs,character_substitution,2,1165
ranwin,ranwen,character_substitution,1,1168
flurazepam,fluorizepam,character_substitution,2,1169
tresil,trestle,character_substitution,2,1172
glutaup,glutop,character_substitution,2,1174
alpraquil,alprequil,character_substitution,1,1175
vortuxi,vortex-e,phonetic_substitution,3,1176
mencevax,mensivax,character_substitution,2,1177
belgest,belgus,character_substitution,2,1179
ofloxacin,ofluxacin,character_substitution,1,1180
sobisis,sabacy's,phonetic_substitution,5,1181
cutimin,cutamen,character_substitution,2,1183
drixoral,trixeral,character_substitution,2,1185
temsirolimus,temsoralimus,character_substitution,2,1186
beeclav,biclav,character_substitution,2,1188
kabihep,cavihep,character_substitution,2,1190
